Student Number,Age,Gender,Residency,Class Standing,Scholarship,Study_Hours_Per_Week,Attendance_Rate,Y1_GWA,Y2_GWA,Y3_GWA,Y4_GWA,GPA_Trend,Final_GWA,Performance_Category
22-06763,20,Female,Dorm,Regular,No,9,85,2.23,2.31,2.32,2.38,Stable,2.29,At-Risk
22-06764,23,Female,Family House,Regular,No,29,80,1.92,2.01,1.72,1.62,Stable,1.85,Good
22-06765,22,Female,Dorm,Regular,No,30,89,1.54,1.57,1.85,2.0,Declining,1.7,Good
22-06766,24,Female,Family House,Regular,Yes,28,87,1.83,1.74,1.74,2.0,Stable,1.81,Good
22-06767,24,Female,Family House,Irregular,Yes,20,90,2.21,1.83,1.43,1.88,Improving,1.85,Good
22-06768,23,Male,Dorm,Regular,Yes,31,93,1.63,1.65,1.85,1.8,Stable,1.72,Good
22-06769,24,Female,Family House,Regular,No,30,93,1.54,1.65,1.76,1.43,Stable,1.61,Excellent
22-06770,22,Female,Dorm,Irregular,Yes,26,95,1.9,1.72,1.65,1.95,Stable,1.79,Good
22-06771,21,Female,Dorm,Regular,No,21,94,1.88,1.81,1.54,2.05,Stable,1.79,Good
22-06772,24,Male,Dorm,Regular,No,22,88,2.12,1.89,2.03,1.85,Stable,1.99,Good
22-06773,24,Male,Family House,Regular,Yes,39,100,1.45,1.5,1.53,1.7,Stable,1.52,Excellent
22-06774,24,Male,Family House,Regular,Yes,35,94,1.48,1.25,1.49,1.57,Stable,1.43,Excellent
22-06775,24,Female,Family House,Regular,No,20,89,2.06,1.97,1.89,1.8,Stable,1.95,Good
22-06776,22,Male,Family House,Regular,Yes,22,88,2.12,2.19,2.11,2.33,Stable,2.17,At-Risk
22-06777,23,Male,Family House,Regular,No,23,83,1.82,2.06,1.88,1.9,Stable,1.91,Good
22-06778,21,Female,Family House,Regular,Yes,25,89,1.62,1.81,1.75,1.48,Stable,1.68,Good
22-06779,22,Female,Family House,Regular,No,29,97,1.43,1.64,1.58,1.23,Stable,1.5,Excellent
22-06780,23,Male,Family House,Regular,No,19,79,2.21,2.22,2.14,2.17,Stable,2.19,At-Risk
22-06781,21,Male,Family House,Regular,No,15,83,1.93,1.94,1.97,1.88,Stable,1.94,Good
22-06782,21,Male,Dorm,Regular,Yes,22,94,1.86,1.81,1.92,2.05,Stable,1.89,Good
22-06783,22,Male,Family House,Regular,No,25,91,1.83,2.1,2.18,1.82,Stable,2.0,Good
22-06784,20,Female,Family House,Regular,No,19,94,1.95,1.94,1.89,1.52,Improving,1.87,Good
22-06785,23,Female,Dorm,Regular,No,23,80,1.8,1.88,2.04,1.68,Stable,1.87,Good
22-06786,23,Male,Family House,Regular,No,19,90,1.83,1.83,1.92,1.98,Stable,1.88,Good
22-06787,24,Male,Family House,Regular,No,15,87,2.18,2.08,2.08,2.12,Stable,2.12,At-Risk
22-06788,24,Male,Family House,Regular,No,22,80,1.93,1.75,1.88,1.88,Stable,1.86,Good
22-06789,24,Male,Family House,Regular,Yes,21,92,1.8,1.81,1.68,1.8,Stable,1.77,Good
22-06790,23,Male,Family House,Regular,No,23,84,1.77,1.75,2.04,1.43,Improving,1.79,Good
22-06791,20,Male,Dorm,Irregular,No,29,94,2.17,1.46,1.51,1.95,Stable,1.77,Good
22-06792,21,Male,Family House,Regular,Yes,25,92,1.76,1.79,1.74,1.85,Stable,1.78,Good
22-06793,22,Male,Family House,Regular,No,35,98,1.68,1.61,1.6,1.65,Stable,1.63,Excellent
22-06794,21,Female,Family House,Regular,No,28,81,1.92,1.79,2.08,1.82,Stable,1.91,Good
22-06795,23,Male,Family House,Regular,No,28,92,1.92,2.03,1.88,1.88,Stable,1.93,Good
22-06796,22,Male,Family House,Regular,Yes,31,98,1.58,1.68,1.67,1.75,Stable,1.66,Good
22-06797,22,Female,Family House,Regular,Yes,33,88,1.89,1.68,1.54,1.88,Stable,1.74,Good
22-06798,20,Male,Family House,Regular,Yes,40,97,1.5,1.75,1.56,1.38,Stable,1.56,Excellent
22-06799,21,Male,Dorm,Irregular,No,22,87,2.1,2.0,1.53,1.93,Stable,1.89,Good
22-06800,22,Female,Family House,Regular,No,15,82,2.42,1.93,2.07,2.17,Stable,2.16,At-Risk
22-06801,20,Male,Family House,Regular,Yes,31,97,1.64,1.32,1.53,1.27,Improving,1.47,Excellent
22-06802,20,Male,Family House,Regular,No,29,83,1.92,1.99,1.83,1.93,Stable,1.91,Good
22-06803,22,Male,Dorm,Regular,No,16,80,1.76,1.9,1.72,1.62,Stable,1.77,Good
22-06804,24,Male,Family House,Irregular,No,15,90,2.15,2.07,1.62,1.88,Stable,1.95,Good
22-06805,20,Female,Dorm,Regular,No,28,89,1.95,2.19,1.99,1.9,Stable,2.02,Good
22-06806,23,Female,Family House,Irregular,No,25,100,2.1,1.46,1.56,1.35,Improving,1.67,Good
22-06807,22,Male,Family House,Regular,No,39,97,1.67,1.56,1.54,1.52,Stable,1.58,Excellent
22-06808,22,Female,Family House,Regular,No,14,84,2.23,2.11,2.24,2.05,Stable,2.17,At-Risk
22-06809,23,Male,Dorm,Regular,No,20,94,2.01,1.58,1.76,1.93,Stable,1.82,Good
22-06810,23,Male,Family House,Regular,Yes,40,100,1.52,1.53,1.46,1.45,Stable,1.5,Excellent
22-06811,21,Male,Family House,Regular,No,17,82,1.79,1.83,1.94,1.7,Stable,1.83,Good
22-06812,21,Female,Dorm,Regular,Yes,22,83,1.46,1.99,1.65,1.75,Stable,1.7,Good
22-06813,20,Female,Dorm,Regular,Yes,25,95,1.76,1.72,1.65,1.85,Stable,1.74,Good
22-06814,21,Female,Family House,Regular,Yes,29,100,1.5,1.4,1.43,1.6,Stable,1.47,Excellent
22-06815,23,Female,Dorm,Regular,No,26,91,1.96,1.76,1.93,2.02,Stable,1.91,Good
22-06816,20,Male,Family House,Regular,Yes,40,93,1.54,1.44,1.39,1.73,Stable,1.5,Excellent
22-06817,21,Male,Family House,Regular,Yes,34,96,1.7,1.65,1.71,1.65,Stable,1.68,Good
22-06818,22,Male,Family House,Regular,No,9,83,2.1,2.33,2.33,2.08,Stable,2.22,At-Risk
22-06819,23,Female,Dorm,Irregular,No,9,87,2.23,2.17,1.76,2.23,Stable,2.09,Good
22-06820,22,Female,Family House,Regular,No,24,82,1.99,1.9,1.9,1.7,Stable,1.9,Good
22-06821,22,Female,Dorm,Regular,No,13,82,2.05,2.17,2.29,2.23,Stable,2.17,At-Risk
22-06822,20,Male,Family House,Regular,No,23,89,1.83,1.75,1.92,1.85,Stable,1.84,Good
22-06823,22,Male,Family House,Regular,Yes,34,97,1.49,1.65,1.47,1.35,Stable,1.51,Excellent
22-06824,24,Female,Family House,Regular,No,16,85,1.79,1.78,2.06,1.93,Stable,1.88,Good
22-06825,23,Female,Family House,Regular,No,20,90,1.8,1.83,1.69,1.82,Stable,1.78,Good
22-06826,24,Female,Family House,Regular,No,30,84,1.7,1.71,1.62,1.98,Stable,1.72,Good
22-06827,20,Female,Dorm,Regular,No,21,87,1.96,2.01,1.83,1.93,Stable,1.94,Good
22-06828,20,Male,Dorm,Regular,No,12,79,2.04,2.17,2.11,2.25,Stable,2.12,At-Risk
22-06829,22,Female,Family House,Regular,No,23,85,2.07,1.83,2.0,1.7,Improving,1.93,Good
22-06830,22,Male,Dorm,Regular,No,26,91,1.75,1.51,1.64,1.5,Stable,1.62,Excellent
22-06831,20,Male,Dorm,Regular,No,35,94,1.58,1.58,1.67,1.45,Stable,1.59,Excellent
22-06832,23,Female,Dorm,Regular,No,35,90,1.73,1.61,1.71,1.57,Stable,1.67,Good
22-06833,24,Female,Dorm,Irregular,Yes,38,100,1.99,1.4,1.75,1.88,Stable,1.75,Good
22-06834,20,Male,Family House,Regular,No,18,89,1.79,1.96,1.93,1.85,Stable,1.88,Good
22-06835,22,Male,Family House,Regular,No,25,80,1.8,1.88,1.79,2.12,Declining,1.87,Good
22-06836,20,Male,Family House,Regular,No,19,83,1.77,1.81,1.71,1.9,Stable,1.78,Good
22-06837,20,Male,Family House,Regular,No,17,93,1.96,1.76,1.94,1.82,Stable,1.88,Good
22-06838,20,Male,Family House,Regular,Yes,34,95,1.3,1.62,1.64,1.52,Stable,1.51,Excellent
22-06839,21,Male,Family House,Regular,No,28,94,1.62,1.79,1.64,1.52,Stable,1.66,Good
22-06840,21,Female,Family House,Regular,No,21,81,1.76,1.71,1.88,2.08,Declining,1.82,Good
22-06841,24,Male,Dorm,Regular,No,38,99,1.67,1.36,1.61,1.73,Stable,1.58,Excellent
22-06842,24,Male,Dorm,Regular,No,32,91,1.56,1.54,1.47,1.62,Stable,1.54,Excellent
22-06843,22,Female,Dorm,Regular,Yes,22,87,1.65,2.07,1.78,1.77,Stable,1.82,Good
22-06844,21,Male,Family House,Regular,No,24,92,1.8,1.78,1.83,2.0,Stable,1.83,Good
22-06845,22,Male,Dorm,Regular,No,16,92,1.76,2.08,1.79,1.38,Improving,1.8,Good
22-06846,24,Male,Family House,Regular,No,20,91,1.86,1.75,1.86,1.48,Improving,1.77,Good
22-06847,22,Male,Dorm,Regular,No,15,90,1.93,1.76,1.94,1.82,Stable,1.87,Good
22-06848,20,Male,Family House,Regular,No,40,95,1.65,1.6,1.46,1.38,Stable,1.54,Excellent
22-06849,22,Male,Dorm,Regular,Yes,25,98,1.74,1.46,1.74,1.8,Stable,1.67,Good
22-06850,23,Female,Family House,Irregular,No,25,90,2.05,1.79,1.54,1.9,Stable,1.82,Good
22-06851,21,Female,Family House,Regular,No,23,86,1.92,1.83,2.06,2.08,Stable,1.96,Good
22-06852,21,Female,Family House,Regular,Yes,34,99,1.52,1.64,1.58,1.32,Stable,1.54,Excellent
22-06853,21,Female,Family House,Regular,No,16,78,2.36,2.19,1.96,2.27,Stable,2.19,At-Risk
22-06854,21,Male,Dorm,Regular,No,25,99,1.7,1.71,1.88,1.38,Improving,1.7,Good
22-06855,21,Female,Family House,Regular,No,17,95,1.93,1.72,1.9,1.85,Stable,1.85,Good
22-06856,22,Female,Family House,Regular,No,40,99,1.55,1.72,1.74,1.75,Stable,1.68,Good
22-06857,24,Male,Dorm,Regular,Yes,18,98,1.73,1.83,1.64,1.8,Stable,1.74,Good
22-06858,21,Male,Family House,Regular,No,27,99,1.56,1.5,1.65,1.6,Stable,1.57,Excellent
22-06859,21,Female,Family House,Regular,No,18,84,1.99,2.35,2.07,2.4,Declining,2.17,At-Risk
22-06860,22,Female,Dorm,Regular,Yes,34,100,1.45,1.68,1.32,1.3,Stable,1.46,Excellent
22-06861,21,Female,Dorm,Regular,No,36,95,1.61,1.51,1.4,1.4,Stable,1.5,Excellent
22-06862,22,Female,Family House,Regular,Yes,31,100,1.4,1.67,1.57,1.55,Stable,1.54,Excellent
22-06863,22,Male,Family House,Regular,No,22,81,1.8,2.04,1.85,1.88,Stable,1.89,Good
22-06864,24,Male,Family House,Regular,Yes,35,95,1.46,1.36,1.42,1.65,Stable,1.45,Excellent
22-06865,21,Male,Family House,Regular,No,27,84,1.92,1.81,1.89,1.77,Stable,1.86,Good
22-06866,23,Male,Dorm,Regular,No,30,94,1.71,1.56,1.51,1.75,Stable,1.62,Excellent
22-06867,24,Female,Family House,Regular,No,12,74,2.29,2.31,2.12,2.23,Stable,2.24,At-Risk
22-06868,23,Male,Family House,Regular,No,35,92,1.43,1.53,1.57,1.62,Stable,1.52,Excellent
22-06869,23,Male,Family House,Regular,Yes,20,87,1.81,1.65,1.83,1.8,Stable,1.77,Good
22-06870,23,Female,Family House,Regular,Yes,16,79,2.17,2.12,1.9,1.9,Stable,2.04,Good
22-06871,23,Female,Dorm,Regular,Yes,23,92,1.88,1.76,1.88,1.77,Stable,1.83,Good
22-06872,20,Male,Dorm,Regular,No,32,94,1.63,1.76,1.62,1.62,Stable,1.66,Good
22-06873,20,Female,Dorm,Irregular,No,34,93,2.23,1.47,1.42,1.35,Improving,1.68,Good
22-06874,23,Female,Family House,Regular,Yes,16,91,2.17,2.18,2.03,2.35,Stable,2.16,At-Risk
22-06875,24,Male,Family House,Regular,No,30,97,1.79,1.49,1.46,1.5,Stable,1.57,Excellent
22-06876,24,Female,Dorm,Regular,No,19,87,2.26,2.32,2.32,1.93,Improving,2.24,At-Risk
22-06877,24,Male,Family House,Regular,No,27,88,1.85,1.6,1.57,1.93,Stable,1.72,Good
22-06878,24,Male,Dorm,Regular,No,30,83,1.9,1.78,1.75,1.7,Stable,1.8,Good
22-06879,22,Male,Family House,Irregular,No,25,100,2.17,1.54,1.49,1.43,Improving,1.71,Good
22-06880,22,Male,Dorm,Regular,No,25,90,1.88,2.01,1.67,1.93,Stable,1.87,Good
22-06881,23,Female,Family House,Regular,No,25,88,2.06,1.89,1.78,1.7,Improving,1.88,Good
22-06882,20,Male,Dorm,Regular,No,24,87,1.86,1.83,1.81,1.88,Stable,1.84,Good
22-06883,23,Male,Family House,Irregular,Yes,14,75,2.3,2.35,1.61,1.95,Improving,2.07,Good
22-06884,23,Female,Family House,Regular,Yes,30,100,1.21,1.49,1.49,1.68,Declining,1.43,Excellent
22-06885,23,Female,Family House,Regular,Yes,25,88,1.89,1.67,1.89,1.77,Stable,1.81,Good
22-06886,20,Male,Dorm,Regular,No,16,88,1.92,1.72,1.83,1.8,Stable,1.82,Good
22-06887,23,Female,Family House,Regular,Yes,16,90,2.08,2.01,1.85,2.12,Stable,2.01,Good
22-06888,20,Female,Family House,Regular,No,28,97,1.46,1.5,1.81,1.4,Stable,1.56,Excellent
22-06889,24,Female,Dorm,Regular,No,20,88,1.77,1.85,1.79,2.0,Stable,1.83,Good
22-06890,20,Female,Dorm,Regular,No,26,99,1.55,1.62,1.71,1.6,Stable,1.62,Excellent
22-06891,22,Female,Dorm,Regular,No,11,74,2.29,2.19,2.26,2.35,Stable,2.26,At-Risk
22-06892,23,Male,Family House,Regular,No,15,80,2.23,2.18,2.14,2.15,Stable,2.18,At-Risk
22-06893,20,Female,Dorm,Regular,No,17,85,1.77,2.11,1.58,1.82,Stable,1.82,Good
22-06894,21,Female,Family House,Regular,No,27,93,1.62,1.82,1.75,1.75,Stable,1.73,Good
22-06895,24,Female,Dorm,Regular,No,29,95,1.75,2.14,1.86,1.7,Stable,1.88,Good
22-06896,23,Male,Family House,Regular,No,14,81,2.1,2.14,2.24,2.2,Stable,2.16,At-Risk
22-06897,22,Female,Family House,Regular,No,27,91,1.76,1.88,2.0,1.85,Stable,1.87,Good
22-06898,23,Male,Dorm,Irregular,No,27,88,2.07,1.97,2.07,1.98,Stable,2.03,Good
22-06899,20,Female,Dorm,Regular,No,23,90,1.94,1.94,1.78,1.6,Improving,1.85,Good
22-06900,21,Female,Dorm,Regular,No,9,70,2.27,2.14,2.33,2.17,Stable,2.24,At-Risk
22-06901,24,Male,Family House,Regular,No,37,97,1.82,1.69,1.65,1.52,Stable,1.7,Good
22-06902,22,Male,Family House,Regular,No,40,91,1.62,1.64,1.6,1.45,Stable,1.59,Excellent
22-06903,24,Female,Dorm,Regular,Yes,40,95,1.54,1.56,1.42,1.25,Stable,1.47,Excellent
22-06904,22,Male,Family House,Irregular,No,19,93,2.3,1.85,1.54,2.23,Stable,1.96,Good
22-06905,20,Male,Dorm,Irregular,No,8,80,2.07,2.4,1.93,2.35,Stable,2.16,At-Risk
22-06906,24,Female,Dorm,Regular,Yes,18,83,2.21,2.21,1.92,2.15,Stable,2.12,At-Risk
22-06907,22,Female,Dorm,Regular,Yes,24,87,2.08,1.94,1.67,1.68,Improving,1.87,Good
22-06908,20,Male,Dorm,Regular,No,23,91,1.87,1.85,1.82,2.08,Stable,1.88,Good
22-06909,21,Female,Dorm,Regular,No,21,95,1.73,1.82,1.67,1.9,Stable,1.76,Good
22-06910,22,Male,Family House,Regular,No,9,70,2.17,2.49,2.22,2.38,Stable,2.3,At-Risk
22-06911,23,Female,Dorm,Regular,No,19,89,1.87,1.83,1.97,1.68,Stable,1.86,Good
22-06912,23,Female,Family House,Regular,No,36,91,1.62,1.47,1.44,1.82,Stable,1.56,Excellent
22-06913,20,Male,Dorm,Regular,No,27,80,1.87,1.62,1.64,1.77,Stable,1.73,Good
22-06914,20,Male,Family House,Regular,Yes,21,90,1.62,1.79,1.9,1.82,Stable,1.77,Good
22-06915,23,Male,Dorm,Irregular,No,23,83,2.33,1.85,1.92,1.88,Improving,2.02,Good
22-06916,20,Male,Family House,Regular,No,28,81,1.87,1.96,1.81,2.15,Stable,1.92,Good
22-06917,23,Male,Dorm,Regular,No,36,94,1.64,1.35,1.64,1.75,Stable,1.58,Excellent
22-06918,24,Male,Family House,Irregular,Yes,11,90,1.94,2.25,1.92,2.15,Stable,2.05,Good
22-06919,20,Female,Dorm,Regular,No,14,76,2.31,2.15,1.97,2.38,Stable,2.19,At-Risk
22-06920,20,Female,Family House,Regular,No,16,82,2.15,2.18,2.26,2.27,Stable,2.21,At-Risk
22-06921,24,Male,Dorm,Regular,No,22,86,1.89,1.86,1.97,1.7,Stable,1.88,Good
22-06922,22,Female,Family House,Regular,No,26,92,1.6,1.56,1.65,1.73,Stable,1.62,Excellent
22-06923,21,Male,Family House,Regular,No,11,88,2.12,2.12,2.21,2.23,Stable,2.16,At-Risk
22-06924,21,Male,Family House,Regular,No,22,81,1.87,1.89,1.75,1.93,Stable,1.85,Good
22-06925,24,Male,Dorm,Regular,No,26,93,2.01,1.89,1.9,2.1,Stable,1.96,Good
22-06926,22,Male,Dorm,Irregular,No,18,80,2.29,2.28,1.86,1.98,Improving,2.12,At-Risk
22-06927,21,Female,Family House,Regular,Yes,37,100,1.58,1.58,1.47,1.55,Stable,1.55,Excellent
22-06928,24,Female,Family House,Regular,Yes,24,96,1.76,1.82,1.9,1.9,Stable,1.84,Good
22-06929,20,Female,Family House,Irregular,Yes,40,93,2.08,1.32,1.47,1.3,Improving,1.6,Excellent
22-06930,20,Male,Family House,Irregular,No,29,85,2.04,1.96,1.6,1.88,Stable,1.87,Good
22-06931,20,Male,Family House,Regular,No,18,90,1.77,1.65,1.97,1.73,Stable,1.79,Good
22-06932,20,Male,Dorm,Regular,No,30,83,1.86,1.78,1.88,1.62,Stable,1.81,Good
22-06933,23,Male,Dorm,Irregular,Yes,37,100,1.89,1.43,1.35,1.57,Improving,1.57,Excellent
22-06934,24,Female,Family House,Regular,No,17,91,1.63,2.03,1.78,1.73,Stable,1.79,Good
22-06935,20,Female,Dorm,Regular,No,18,73,2.29,2.14,2.19,1.88,Improving,2.16,At-Risk
22-06936,23,Female,Family House,Regular,No,28,90,1.64,1.6,1.62,1.43,Stable,1.59,Excellent
22-06937,22,Female,Family House,Regular,Yes,28,84,1.74,1.68,1.88,1.85,Stable,1.78,Good
22-06938,23,Female,Dorm,Regular,No,37,94,1.46,1.43,1.58,1.57,Stable,1.5,Excellent
22-06939,20,Female,Family House,Regular,No,19,80,2.15,1.79,1.88,1.9,Stable,1.94,Good
22-06940,20,Male,Family House,Regular,No,22,92,1.68,2.17,1.99,1.88,Stable,1.92,Good
22-06941,21,Female,Dorm,Regular,No,32,90,1.5,1.69,1.65,1.85,Declining,1.65,Excellent
22-06942,23,Male,Family House,Regular,No,14,85,2.13,2.21,2.17,2.2,Stable,2.17,At-Risk
22-06943,20,Female,Dorm,Regular,No,15,90,1.93,2.07,1.83,2.08,Stable,1.96,Good
22-06944,22,Female,Dorm,Regular,No,16,78,2.33,2.08,2.21,2.15,Stable,2.21,At-Risk
22-06945,22,Male,Dorm,Regular,Yes,10,75,2.21,2.25,2.33,2.05,Stable,2.23,At-Risk
22-06946,22,Male,Family House,Irregular,Yes,28,90,2.11,1.74,1.33,1.85,Stable,1.76,Good
22-06947,22,Female,Family House,Regular,No,26,97,1.64,1.42,1.6,1.73,Stable,1.58,Excellent
22-06948,20,Female,Dorm,Regular,No,40,100,1.6,1.76,1.32,1.7,Stable,1.58,Excellent
22-06949,24,Female,Dorm,Regular,Yes,17,80,2.04,2.25,2.18,2.0,Stable,2.13,At-Risk
22-06950,22,Female,Family House,Regular,No,22,85,1.95,1.85,1.88,2.23,Stable,1.94,Good
22-06951,23,Female,Family House,Regular,No,29,86,1.79,1.83,1.61,2.05,Stable,1.79,Good
22-06952,22,Male,Family House,Regular,No,24,85,1.88,1.83,1.78,2.05,Stable,1.87,Good
22-06953,21,Male,Family House,Regular,No,17,92,1.89,1.9,1.89,2.12,Stable,1.93,Good
22-06954,22,Female,Family House,Regular,No,9,84,2.1,2.28,2.19,2.1,Stable,2.17,At-Risk
22-06955,20,Female,Dorm,Regular,No,20,74,2.08,2.17,2.11,2.27,Stable,2.14,At-Risk
22-06956,21,Male,Family House,Irregular,No,10,71,2.4,2.15,1.64,2.25,Stable,2.11,At-Risk
22-06957,21,Female,Family House,Regular,No,24,83,2.06,1.54,1.89,2.33,Stable,1.91,Good
22-06958,21,Male,Dorm,Regular,No,28,88,1.79,1.96,2.21,1.8,Stable,1.95,Good
22-06959,22,Male,Dorm,Regular,Yes,33,91,1.74,1.82,1.86,1.6,Stable,1.77,Good
22-06960,21,Male,Family House,Regular,No,15,77,2.13,2.15,2.25,2.35,Stable,2.2,At-Risk
22-06961,21,Female,Family House,Regular,No,39,99,1.56,1.65,1.76,1.4,Stable,1.62,Excellent
22-06962,23,Male,Dorm,Regular,No,17,91,1.85,1.93,1.81,2.0,Stable,1.88,Good
22-06963,24,Female,Dorm,Regular,No,26,99,1.4,1.64,1.57,1.8,Declining,1.57,Excellent
22-06964,23,Male,Dorm,Regular,No,15,95,1.71,1.75,1.93,1.98,Stable,1.82,Good
22-06965,24,Male,Family House,Regular,No,28,98,1.42,1.49,1.46,1.65,Stable,1.48,Excellent
22-06966,24,Female,Family House,Regular,No,24,83,1.77,1.88,1.81,1.9,Stable,1.83,Good
22-06967,23,Male,Family House,Regular,No,25,84,1.74,1.79,1.92,1.9,Stable,1.82,Good
22-06968,24,Male,Dorm,Regular,Yes,27,93,1.81,1.76,2.01,1.85,Stable,1.86,Good
22-06969,21,Female,Dorm,Regular,No,30,85,1.77,1.74,1.76,1.45,Improving,1.71,Good
22-06970,22,Female,Family House,Regular,No,22,90,1.87,1.76,1.94,1.8,Stable,1.85,Good
22-06971,24,Male,Dorm,Regular,No,20,82,1.87,1.85,1.93,1.8,Stable,1.87,Good
22-06972,22,Male,Dorm,Regular,No,39,90,1.74,1.62,1.81,1.62,Stable,1.71,Good
22-06973,24,Male,Family House,Regular,No,28,91,1.8,1.67,1.54,2.08,Stable,1.74,Good
22-06974,22,Female,Family House,Regular,Yes,21,89,1.89,1.93,1.74,2.1,Stable,1.89,Good
22-06975,21,Female,Family House,Regular,Yes,39,100,1.38,1.56,1.69,1.62,Stable,1.55,Excellent
22-06976,20,Male,Family House,Regular,Yes,37,99,1.54,1.46,1.6,1.48,Stable,1.52,Excellent
22-06977,23,Male,Dorm,Regular,No,20,86,1.95,1.68,1.85,2.15,Stable,1.88,Good
22-06978,22,Female,Dorm,Regular,No,17,90,1.89,1.92,1.83,1.57,Improving,1.84,Good
22-06979,22,Male,Family House,Regular,Yes,39,93,1.56,1.53,1.58,1.73,Stable,1.58,Excellent
22-06980,22,Female,Family House,Irregular,Yes,25,84,2.25,1.79,1.33,2.1,Stable,1.86,Good
22-06981,21,Female,Family House,Irregular,Yes,17,88,2.08,2.24,1.72,2.35,Stable,2.07,Good
22-06982,22,Male,Family House,Regular,No,19,95,1.65,1.68,1.76,1.77,Stable,1.71,Good
22-06983,21,Male,Dorm,Regular,Yes,36,97,1.46,1.49,1.54,1.55,Stable,1.5,Excellent
22-06984,20,Female,Family House,Regular,Yes,16,77,1.96,2.03,1.94,2.05,Stable,1.99,Good
22-06985,24,Female,Family House,Regular,No,29,86,1.67,1.82,1.89,1.75,Stable,1.78,Good
22-06986,20,Male,Dorm,Regular,No,9,78,2.45,2.25,2.31,1.98,Improving,2.29,At-Risk
22-06987,22,Male,Dorm,Regular,Yes,30,93,1.7,1.83,1.69,2.15,Declining,1.8,Good
22-06988,23,Female,Family House,Regular,No,26,87,1.92,1.92,1.83,1.65,Stable,1.85,Good
22-06989,20,Female,Family House,Regular,Yes,23,86,2.08,2.11,2.21,2.25,Stable,2.15,At-Risk
22-06990,21,Male,Dorm,Irregular,No,12,80,2.02,2.17,1.92,2.17,Stable,2.06,Good
22-06991,20,Male,Family House,Regular,No,31,90,1.63,1.58,1.56,1.68,Stable,1.6,Excellent
22-06992,24,Male,Dorm,Regular,No,40,96,1.56,1.53,1.61,1.48,Stable,1.55,Excellent
22-06993,22,Female,Family House,Regular,No,10,86,2.21,2.15,2.11,2.08,Stable,2.15,At-Risk
22-06994,23,Female,Dorm,Regular,Yes,17,86,1.98,2.08,1.89,2.38,Declining,2.04,Good
22-06995,22,Male,Family House,Regular,No,29,81,1.9,2.04,2.04,1.93,Stable,1.98,Good
22-06996,23,Female,Family House,Irregular,No,10,86,2.21,2.03,1.88,2.3,Stable,2.09,Good
22-06997,22,Male,Family House,Regular,Yes,36,100,1.55,1.51,1.47,1.45,Stable,1.5,Excellent
22-06998,23,Male,Dorm,Regular,Yes,22,99,1.7,1.83,2.01,1.93,Stable,1.85,Good
22-06999,20,Female,Family House,Regular,No,27,94,1.75,1.88,1.92,1.98,Stable,1.86,Good
22-07000,22,Male,Family House,Regular,Yes,21,94,1.81,1.78,1.71,1.77,Stable,1.77,Good
22-07001,23,Male,Family House,Regular,Yes,40,100,1.32,1.5,1.29,1.4,Stable,1.37,Excellent
22-07002,21,Male,Family House,Regular,No,30,91,1.75,1.56,1.62,1.75,Stable,1.66,Good
22-07003,24,Female,Family House,Regular,No,29,99,1.54,1.64,1.64,1.73,Stable,1.62,Excellent
22-07004,21,Female,Family House,Regular,No,8,75,2.19,2.21,2.06,1.9,Stable,2.12,At-Risk
22-07005,21,Male,Dorm,Irregular,No,35,98,2.14,1.43,1.56,1.57,Improving,1.71,Good
22-07006,22,Male,Family House,Regular,Yes,32,82,1.5,1.86,1.83,1.75,Stable,1.72,Good
22-07007,23,Male,Family House,Regular,No,27,90,1.95,1.92,2.04,2.1,Stable,1.99,Good
22-07008,20,Female,Family House,Regular,No,12,86,2.39,2.47,2.24,2.23,Stable,2.35,At-Risk
22-07009,24,Male,Dorm,Regular,Yes,28,91,1.67,1.74,1.76,1.7,Stable,1.72,Good
22-07010,24,Male,Dorm,Regular,No,8,83,2.29,2.15,2.31,2.3,Stable,2.26,At-Risk
22-07011,20,Male,Family House,Irregular,No,38,95,2.0,1.68,1.33,1.6,Improving,1.68,Good
22-07012,20,Female,Dorm,Regular,Yes,20,84,1.96,2.18,2.17,2.15,Stable,2.1,Good
22-07013,20,Male,Dorm,Regular,Yes,11,78,2.21,2.24,1.94,2.25,Stable,2.15,At-Risk
22-07014,22,Female,Dorm,Irregular,No,16,78,2.24,2.17,2.01,1.98,Stable,2.12,At-Risk
22-07015,23,Male,Family House,Regular,No,19,93,1.95,1.83,1.64,1.98,Stable,1.84,Good
22-07016,21,Female,Dorm,Regular,No,38,98,1.58,1.58,1.49,1.48,Stable,1.54,Excellent
22-07017,24,Male,Dorm,Regular,No,13,77,2.25,2.1,2.21,2.15,Stable,2.18,At-Risk
22-07018,22,Male,Dorm,Regular,No,26,91,1.87,1.78,1.97,1.55,Improving,1.82,Good
22-07019,21,Female,Dorm,Irregular,No,40,99,2.12,1.57,1.47,1.45,Improving,1.7,Good
22-07020,22,Male,Family House,Regular,No,17,70,2.21,2.15,2.17,2.52,Declining,2.23,At-Risk
22-07021,23,Male,Dorm,Regular,No,15,94,1.85,1.58,1.86,1.95,Stable,1.79,Good
22-07022,22,Female,Family House,Regular,No,15,88,1.85,1.81,1.71,1.73,Stable,1.78,Good
22-07023,21,Female,Family House,Regular,No,39,97,1.37,1.58,1.51,1.5,Stable,1.49,Excellent
22-07024,22,Female,Dorm,Regular,No,26,100,1.68,1.62,1.6,1.8,Stable,1.66,Good
